Campaign_ID,Campaign_Name,Region,Start_Date,End_Date,Budget,Spend,Impressions,Clicks,Conversions,Revenue,ROI,Meta
CAMP001,Spring Launch,NA,2024-03-01,2024-03-31,50000,48500,2500000,125000,2800,84000,1.73,"{""channel"":""digital"",""target_age"":""25-44"",""creative_type"":""video""}"
CAMP002,Easter Promotion,EU,2024-03-15,2024-04-15,30000,29800,1800000,90000,1950,58500,1.96,"{""channel"":""social"",""target_age"":""18-34"",""creative_type"":""image""}"
CAMP003,Asia Pacific Drive,APAC,2024-04-01,2024-04-30,40000,38900,2200000,110000,2400,72000,1.85,"{""channel"":""search"",""target_age"":""35-54"",""creative_type"":""text""}"
CAMP004,Summer Kickoff,NA,2024-06-01,2024-06-30,60000,58200,3000000,150000,3200,96000,1.65,"{""channel"":""digital"",""target_age"":""18-44"",""creative_type"":""video""}"
CAMP005,Euro Summer,EU,2024-06-15,2024-07-15,45000,44100,2700000,135000,2900,87000,1.97,"{""channel"":""social"",""target_age"":""25-54"",""creative_type"":""carousel""}"
CAMP006,Monsoon Special,APAC,2024-07-01,2024-08-31,55000,53800,2800000,140000,3100,93000,1.73,"{""channel"":""search"",""target_age"":""25-44"",""creative_type"":""text""}"
CAMP007,Back to School,NA,2024-08-15,2024-09-15,35000,34200,2100000,105000,2300,69000,2.02,"{""channel"":""digital"",""target_age"":""25-54"",""creative_type"":""video""}"
CAMP008,Autumn Collection,EU,2024-09-01,2024-09-30,42000,41300,2400000,120000,2650,79500,1.92,"{""channel"":""social"",""target_age"":""35-54"",""creative_type"":""image""}"
CAMP009,Festival Season,APAC,2024-09-15,2024-10-15,48000,47100,2600000,130000,2850,85500,1.82,"{""channel"":""search"",""target_age"":""18-44"",""creative_type"":""text""}"
CAMP010,Halloween Special,NA,2024-10-01,2024-10-31,25000,24600,1500000,75000,1650,49500,2.01,"{""channel"":""digital"",""target_age"":""18-34"",""creative_type"":""video""}"
CAMP011,Black Friday Prep,EU,2024-11-01,2024-11-30,80000,78400,4000000,200000,4200,126000,1.61,"{""channel"":""social"",""target_age"":""25-54"",""creative_type"":""carousel""}"
CAMP012,Singles Day,APAC,2024-11-11,2024-11-11,70000,69300,3500000,175000,3800,114000,1.65,"{""channel"":""search"",""target_age"":""18-44"",""creative_type"":""text""}"
CAMP013,Holiday Rush,NA,2024-12-01,2024-12-25,100000,98500,5000000,250000,5200,156000,1.58,"{""channel"":""digital"",""target_age"":""25-54"",""creative_type"":""video""}"
CAMP014,Christmas Magic,EU,2024-12-10,2024-12-24,65000,63800,3200000,160000,3400,102000,1.60,"{""channel"":""social"",""target_age"":""35-54"",""creative_type"":""image""}"
CAMP015,Year End Sale,APAC,2024-12-26,2024-12-31,50000,49200,2500000,125000,2750,82500,1.68,"{""channel"":""search"",""target_age"":""25-44"",""creative_type"":""text""}"
